mr_id,category,bug_types,result,duration_ms,notes
INH-07,INHERITANCE,PRIVILEGE_LEAKAGE,PASS,87,
INH-04,INHERITANCE,PERMISSION_LOSS,PASS,35,
INH-01,INHERITANCE,PERMISSION_LOSS,PASS,2,
INH-09,INHERITANCE,PRIVILEGE_LEAKAGE,PASS,11,
INH-05,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,10,
INH-10,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,7,
INH-08,INHERITANCE,PERMISSION_LOSS,PASS,3,
INH-06,INHERITANCE,PERMISSION_LOSS,PASS,1,
INH-03,INHERITANCE,PERMISSION_LOSS,PASS,6,
INH-02,INHERITANCE,CYCLIC_DEPENDENCY,FAIL,9,assertion_failed
EQ-02,EQUIVALENCE,PRIVILEGE_LEAKAGE,PASS,3,
EQ-08,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,6,
EQ-07,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,9,
EQ-05,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,11,
EQ-01,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,4,
EQ-04,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,FAIL,8,assertion_failed
EQ-03,EQUIVALENCE,PERMISSION_LOSS,PASS,13,
EQ-09,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,4,
EQ-06,EQUIVALENCE,PERMISSION_LOSS,PASS,3,
EQ-10,EQUIVALENCE,PERMISSION_LOSS,PASS,2,
MON-01,MONOTONICITY,PERMISSION_LOSS,PASS,1,
MON-10,MONOTONICITY,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,13,
MON-08,MONOTONICITY,PERMISSION_LOSS,PASS,3,
MON-03,MONOTONICITY,PERMISSION_LOSS,PASS,5,
MON-06,MONOTONICITY,PRIVILEGE_LEAKAGE,PASS,3,
MON-09,MONOTONICITY,PERMISSION_LOSS,PASS,2,
MON-04,MONOTONICITY,PRIVILEGE_LEAKAGE,PASS,2,
MON-05,MONOTONICITY,PERMISSION_LOSS,PASS,1,
MON-02,MONOTONICITY,PERMISSION_LOSS,PASS,3,
MON-07,MONOTONICITY,PRIVILEGE_LEAKAGE,PASS,3,
EQ-SCALE-d3w2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,929,
EQ-SCALE-d5w3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,145,
EQ-SCALE-d10w4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,352,
EQ-SCALE-d20w5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,820,
MON-SCALE-d3w2,MONOTONICITY,PERMISSION_LOSS,PASS,102,
MON-SCALE-d5w3,MONOTONICITY,PERMISSION_LOSS,PASS,111,
MON-SCALE-d10w4,MONOTONICITY,PERMISSION_LOSS,PASS,259,
MON-SCALE-d20w5,MONOTONICITY,PERMISSION_LOSS,PASS,865,
INH-SCALE-d3w2,INHERITANCE,PERMISSION_LOSS,PASS,38,
INH-SCALE-d5w3,INHERITANCE,PERMISSION_LOSS,PASS,45,
INH-SCALE-d10w4,INHERITANCE,PERMISSION_LOSS,PASS,103,
INH-SCALE-d20w5,INHERITANCE,PERMISSION_LOSS,PASS,274,
CONC-03,EQUIVALENCE,PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION,FAIL,4916,assertion_failed
CONC-02,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,6417,assertion_failed
CONC-05,EQUIVALENCE,PERMISSION_LOSS|CONSTRAINT_VIOLATION,FAIL,2043,assertion_failed
CONC-04-R1,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,3064,
CONC-04-R2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1930,assertion_failed
CONC-04-R3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,2194,assertion_failed
CONC-04-R4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1977,assertion_failed
CONC-04-R5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,4439,assertion_failed
CONC-01,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,8973,assertion_failed
