mr_id, mr_category, bug_types, test_method, results, duration_ms, failure_message
INH-07,INHERITANCE,PRIVILEGE_LEAKAGE,INH-07,PASS,88,
INH-04,INHERITANCE,PERMISSION_LOSS,INH-04,PASS,48,
INH-01,INHERITANCE,PERMISSION_LOSS,INH-01,PASS,2,
INH-09,INHERITANCE,PRIVILEGE_LEAKAGE,INH-09,PASS,6,
INH-05,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,INH-05,PASS,7,
INH-10,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,INH-10,PASS,6,
INH-08,INHERITANCE,PERMISSION_LOSS,INH-08,PASS,4,
INH-06,INHERITANCE,PERMISSION_LOSS,INH-06,PASS,2,
INH-03,INHERITANCE,PERMISSION_LOSS,INH-03,PASS,4,
INH-02,INHERITANCE,CYCLIC_DEPENDENCY,INH-02,FAIL,7,assertion_failed
EQ-02,EQUIVALENCE,PRIVILEGE_LEAKAGE,EQ-02,PASS,2,
EQ-08,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-08,PASS,5,
EQ-07,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-07,PASS,4,
EQ-05,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-05,PASS,8,
EQ-01,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-01,PASS,3,
EQ-04,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-04,FAIL,4,assertion_failed
EQ-03,EQUIVALENCE,PERMISSION_LOSS,EQ-03,PASS,10,
EQ-09,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-09,PASS,4,
EQ-06,EQUIVALENCE,PERMISSION_LOSS,EQ-06,PASS,5,
EQ-10,EQUIVALENCE,PERMISSION_LOSS,EQ-10,PASS,2,
MON-01,MONOTONICITY,PERMISSION_LOSS,MON-01,PASS,1,
MON-10,MONOTONICITY,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,MON-10,PASS,8,
MON-08,MONOTONICITY,PERMISSION_LOSS,MON-08,PASS,10,
MON-03,MONOTONICITY,PERMISSION_LOSS,MON-03,PASS,6,
MON-06,MONOTONICITY,PRIVILEGE_LEAKAGE,MON-06,PASS,3,
MON-09,MONOTONICITY,PERMISSION_LOSS,MON-09,PASS,3,
MON-04,MONOTONICITY,PRIVILEGE_LEAKAGE,MON-04,PASS,3,
MON-05,MONOTONICITY,PERMISSION_LOSS,MON-05,PASS,1,
MON-02,MONOTONICITY,PERMISSION_LOSS,MON-02,PASS,5,
MON-07,MONOTONICITY,PRIVILEGE_LEAKAGE,MON-07,PASS,5,
EQ-SCALE-d3w2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d3w2,PASS,2181,
EQ-SCALE-d5w3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d5w3,PASS,199,
EQ-SCALE-d10w4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d10w4,PASS,626,
EQ-SCALE-d20w5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d20w5,PASS,1192,
MON-SCALE-d3w2,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d3w2,PASS,425,
MON-SCALE-d5w3,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d5w3,PASS,336,
MON-SCALE-d10w4,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d10w4,PASS,599,
MON-SCALE-d20w5,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d20w5,PASS,1117,
INH-SCALE-d3w2,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d3w2,PASS,137,
INH-SCALE-d5w3,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d5w3,PASS,136,
INH-SCALE-d10w4,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d10w4,PASS,179,
INH-SCALE-d20w5,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d20w5,PASS,355,
CONC-03,EQUIVALENCE,PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION,CONC-03,PASS,4449,
CONC-02,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-02,FAIL,6967,assertion_failed
CONC-05,EQUIVALENCE,PERMISSION_LOSS|CONSTRAINT_VIOLATION,CONC-05,FAIL,2608,assertion_failed
CONC-04-R1,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R1,FAIL,2301,assertion_failed
CONC-04-R2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R2,FAIL,1405,assertion_failed
CONC-04-R3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R3,FAIL,2860,assertion_failed
CONC-04-R4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R4,FAIL,2467,assertion_failed
CONC-04-R5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R5,FAIL,1993,assertion_failed
CONC-01,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-01,FAIL,10565,assertion_failed
