MAIN RQ: the detection rate by each MR category
category, total_tests, passed, failed, detection_rate_%, avg_duration_ms
EQUIVALENCE, 9, 0, 9, 100.0, 5453.4

SRQ1: Detection rate by each bug type
bug_type, category, tests_targeting, bugs_detected, detection_rate_%
PRIVILEGE_LEAKAGE, EQUIVALENCE, 8, 8, 100.0
PERMISSION_LOSS, EQUIVALENCE, 8, 8, 100.0
CONSTRAINT_VIOLATION, EQUIVALENCE, 2, 2, 100.0

SRQ2: Computational Cost by MR Category
category, min_ms, max_ms, avg_ms, total_ms
EQUIVALENCE, 675, 28561, 5453.4, 49081

Details for each MR
mr_id, category, result, duration_ms, bug_types
CONC-03, EQUIVALENCE, FAIL, 28561, PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION
CONC-02, EQUIVALENCE, FAIL, 11370, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-05, EQUIVALENCE, FAIL, 1911, PERMISSION_LOSS|CONSTRAINT_VIOLATION
CONC-04-R1, EQUIVALENCE, FAIL, 1303, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R2, EQUIVALENCE, FAIL, 675, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R3, EQUIVALENCE, FAIL, 767, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R4, EQUIVALENCE, FAIL, 1023, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R5, EQUIVALENCE, FAIL, 1695, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-01, EQUIVALENCE, FAIL, 1776, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
